"status","label","pdf_name","matched_program","match_method","program_id"
"4","Club","Bloomsburg Univ.","Bloomsburg University of Pennsylvania","contains","9zBc9LanUyfVOHwEuGCH"
"4","Club","Boise State","Boise State University","contains","X6PMO6tXqifegFafVBuy"
"4","Club","Boise State Univ.","Boise State University","exact","X6PMO6tXqifegFafVBuy"
"4","Club","Boston College","Boston College","exact","Id6XOOsIbrsKZsL1FyAF"
"4","Club","Boston U","Boston University","contains","g9nOehTRfxFV08C7mrXi"
"4","Club","Bowdoin College","Bowdoin College","exact","AmekQztUmU502ojqKzzr"
"4","Club","Bridgewater State Univ.","Bridgewater State University","exact","PVVqiD9u3fy2liy6b7ye"
"4","Club","Bryant Univ.","Bryant University","exact","IwwhlosEc5UwdF3ZrFBO"
"4","Club","Bucknell","Bucknell University","contains","0OJ4HNz51m2KJdGK4i9O"
"4","Club","Bucknell Univ.","Bucknell University","exact","0OJ4HNz51m2KJdGK4i9O"
"4","Club","California Lutheran","California Lutheran University","contains","ho90YK7f16JTe7qWIzDd"
"4","Club","Chico State","California State University, Chico","alias","X2LFcaFyE8KplOlT22sj"
"4","Club","Fresno State","California State University, Fresno","alias","z6WoXaHhqz6T1Ja4gAoc"
"4","Club","California State Fullerton","California State University, Fullerton","fuzzy 1.00","2aG5paa7tUAZSgAuAjRQ"
"4","Club","CSULB","California State University, Long Beach","alias","LiLXP2bINUeJH78yr1eh"
"4","Club","CSU Monterey Bay","California State University, Monterey Bay","alias","fV8Rf62vARf9PWpAfYcT"
"4","Club","Sacramento State","California State University, Sacramento","alias","xAJC3dXYWndd0B6EWjAi"
"4","Club","Canisius College","Canisius University","fuzzy 1.00","HrWgjDrmNIIyvjr027YU"
"4","Club","Carleton College","Carleton College","exact","6C1ePdzuKi5uZVUKCg5D"
"4","Club","Carnegie Mellon Univ.","Carnegie Mellon University","exact","wOWTS3dz64meSAcdcCX9"
"4","Club","Case Western Reserve Univ.","Case Western Reserve University","exact","PLh3DAxq7r1csqRUfmL5"
